,Country,Year,Life expectancy,Children out of primary school,Deaths(HIV/AIDS),Incidence(HIV/AIDS),Prevalence(HIV/AIDS),Disability-Adjusted Life Years,Maternal mortality,Child mortality
152,BHS,2012,72.424,6347,115.98514651929096,256.164644371,354.462215242,29453.53627119458,82.0,1.26
153,BHS,2013,72.62,8729,113.48907309065304,271.779464811,372.165441612,29409.53273009592,81.0,1.2000000000000002
154,BHS,2014,72.847,8422,116.93406077290712,290.782123602,391.2076554780001,29378.83947958237,83.0,1.15
155,BHS,2015,73.088,6982,116.43734261693118,312.823553501,411.613548301,29738.46816979471,80.0,1.1
156,BHR,1991,72.598,352,4.852865382517676,14.6324273836,8.81425145058,35600.415184230835,25.0,2.26
157,BHR,1992,72.803,1848,5.618949166101636,14.5953606785,9.66280068302,35613.67046283961,25.0,2.2
158,BHR,1993,73.006,1265,6.415369561223701,14.4694282713,10.3813654119,35277.59055658973,23.0,2.1
159,BHR,1994,73.209,1362,7.236840184945827,14.327845911,10.9912598679,34784.462618139994,22.0,1.96
160,BHR,1995,73.413,595,8.08108444173803,14.2201704247,11.496210495,34345.683565585794,22.0,1.8100000000000005
161,BHR,1996,73.619,96,8.873432665485838,14.0726130701,11.8707003674,33819.13123632404,22.0,1.66
162,BHR,1997,73.826,270,9.588803555645068,13.7399920031,12.0926774579,33325.51886212702,22.0,1.52
163,BHR,1998,74.033,40,10.21293224052785,13.3136636708,12.2537095647,32677.39766280754,22.0,1.41
164,BHR,1999,74.239,184,10.794574550915383,12.8940704169,12.4345765541,31531.928063960426,22.0,1.32
165,BHR,2000,74.44,1391,10.750744360348971,12.6096787224,12.717295022400002,31309.58778508917,21.0,1.25
166,BHR,2001,74.635,3923,10.140609343827188,12.3357203476,13.1256314,29345.817372072208,21.0,1.2000000000000002
167,BHR,2002,74.822,4217,9.759033427379451,11.9726871971,13.570784775900002,28532.789325943704,21.0,1.16
168,BHR,2003,74.999,5426,10.352272818525764,11.7940471834,14.2178871399,28343.821821318463,20.0,1.13
169,BHR,2004,75.167,5986,10.885296614559596,12.0451430973,15.178975240700002,27914.815982513253,20.0,1.1
170,BHR,2005,75.326,8175,11.60630345342864,12.6862676492,16.250807777800002,26943.29019296023,20.0,1.06
171,BHR,2006,75.478,7018,12.069996971083611,13.6234584306,17.2814171565,26194.4271492011,19.0,1.02
172,BHR,2011,76.2,7477,13.717467401810884,20.5025206092,22.7612713496,22748.525544395157,16.0,0.8300000000000001
173,BHR,2012,76.342,6848,13.45688325271888,20.818337075,23.535199358200003,22463.833167839963,16.0,0.81
174,BHR,2013,76.484,5702,13.29003910790978,21.1597176501,24.3610967703,22154.76593013255,15.0,0.79
175,BHR,2014,76.624,3777,12.72119638207348,21.3106279997,25.1516026539,21844.952673147407,15.0,0.78
176,BHR,2015,76.762,1408,12.16742332307547,21.2439257958,25.973248155,21611.38696327337,15.0,0.77
177,BGD,1990,58.21,3573153,0.0,0.0,0.0,67756.84389673901,569.0,14.380000000000004
178,BGD,2005,67.773,439726,139.894110322861,840.70393121,370.245806924,45718.76117332143,319.0,6.65
179,BGD,2006,68.213,521821,180.84896451770615,918.508096814,436.750273874,44603.313427818764,303.0,6.28
180,BGD,2008,69.072,687353,274.8064862258149,1068.6083806,596.431148742,42595.440836271686,273.0,5.58
181,BGD,2009,69.485,660951,322.55335773041475,1122.94908391,669.4160192620001,41109.75726796206,258.0,5.260000000000001
182,BGD,2010,69.881,803773,379.9050423339023,1152.28788124,723.166703825,40092.4243925229,242.0,4.94
183,BRB,1990,74.704,601,36.85069463640069,92.1919308008,47.2880370768,28004.02893490828,58.0,1.7800000000000002
184,BRB,1992,75.101,2578,38.04983615204831,91.3282065221,59.3509661289,27717.080708058224,52.0,1.62
185,BRB,1999,76.933,130,53.19816333042351,85.3604729955,84.52832543800001,26513.04624232609,50.0,1.46
186,BRB,2000,77.162,557,66.72645096753998,84.637882074,85.6337921777,26463.02906543425,48.0,1.4800000000000002
187,BRB,2001,77.362,667,60.07573606570372,83.7295163328,86.8214930859,25785.676182977364,46.0,1.5
188,BRB,2002,77.534,1462,49.08496333939381,82.4806442157,89.54488770850001,25720.863598434215,46.0,1.52
189,BRB,2003,77.682,1488,36.616551976489866,81.1210414291,93.4359728257,25606.05607371789,46.0,1.54
190,BRB,2004,77.808,1676,36.23502646376192,79.8372682486,98.1038154231,25561.086839101543,47.0,1.55
191,BRB,2005,77.915,1824,36.50985167206206,78.735550049,103.161084647,25533.731359456076,40.0,1.54
192,BRB,2006,78.009,1101,35.46156323611029,76.7678538411,107.85775044500002,25289.010681988195,36.0,1.52
193,BRB,2007,78.097,575,32.6526916366383,73.4794458426,112.012683531,24929.31756303311,38.0,1.5
194,BRB,2008,78.184,282,28.93458654960518,69.7606751573,116.011970238,24626.748528931643,36.0,1.47
195,BRB,2009,78.272,625,28.79073077840536,66.5896066929,120.249171654,24307.05180062961,34.0,1.4500000000000002
196,BRB,2010,78.364,500,30.161214335906152,64.9691560607,125.148110298,24240.57968232713,33.0,1.42
197,BRB,2011,78.456,981,29.23300685681808,64.6585287987,130.54442711800002,24170.613551009297,31.0,1.39
198,BRB,2014,78.717,1449,26.17672356676233,65.6709128341,146.177064226,23851.54287477505,28.0,1.3
199,BRB,2015,78.801,905,25.852895599156504,66.5100893073,150.910033207,23836.82111633385,27.0,1.26
200,BLR,1995,68.274,76656,122.15724445764091,242.942108942,162.622833259,38754.82631958431,33.0,1.57
201,BLR,2001,67.458,0,116.32124352706002,627.054302938,324.47192555400005,38876.12106817457,23.0,1.1800000000000002
202,BLR,2002,67.612,3029,171.6295680431079,683.534504674,382.333587889,39830.03312210322,22.0,1.09
203,BLR,2003,67.809,2270,211.70993063865893,743.079672561,444.926259628,38695.89326220119,19.0,1.0
204,BLR,2004,68.044,7454,207.5633358185609,798.62541175,499.514190542,37896.40687635076,16.0,0.9300000000000002
205,BLR,2005,68.327,7152,227.71391032603404,842.340777668,533.1724177039999,38088.86051882703,13.0,0.8500000000000001
206,BLR,2006,68.678,4997,253.300077678224,874.187497409,561.152849384,36842.6249346348,10.0,0.78
207,BLR,2007,69.107,3840,286.8855457855923,902.206301284,603.9607397560001,35264.033125970665,8.0,0.7200000000000001
208,BLR,2010,70.806,2298,360.94135825923007,1024.88949847,786.2336942400001,34765.42398164425,5.0,0.55
209,BLR,2011,71.443,2463,403.9967546578299,1113.71980583,865.303263882,34676.094890295935,5.0,0.51
210,BLR,2012,72.07,2022,355.3583219994998,1255.25688543,968.849665504,31678.208598333324,4.0,0.48
211,BLR,2013,72.659,6252,329.0321667218397,1445.01044907,1095.90453561,30873.874080535075,4.0,0.45
212,BLR,2014,73.192,7716,337.6244235469305,1676.42250593,1242.93710422,30026.92058681484,4.0,0.42
213,BLR,2015,73.652,5885,324.432251055268,1941.7975182,1406.4071833,28880.101460560352,4.0,0.4
214,BEL,1991,76.085,24862,164.85665096544423,905.204893461,442.966054896,25159.5277737121,9.0,0.96
215,BEL,1992,76.299,35285,130.4658414096302,978.423089113,549.880465137,25002.452285417014,9.0,0.92
216,BEL,1993,76.507,16834,193.03914517704555,1035.59586403,633.7900378280001,24835.57795273064,9.0,0.87
217,BEL,1994,76.709,21406,209.93415584140183,1076.5894139,689.965297658,24641.620499617587,9.0,0.82
218,BEL,1995,76.907,21204,242.26180079193784,1100.89858529,713.4443898760001,24282.713601552416,10.0,0.76
219,BEL,1996,77.101,17914,187.4744444437522,1090.84363854,740.3896189080001,23789.92846812239,10.0,0.71
220,BEL,1999,77.672,426,79.68712450168758,946.222653942,972.330574742,23267.027127677015,9.0,0.61
221,BEL,2000,77.867,0,83.88058921935814,940.435219528,1054.2144872400002,23213.499523994044,9.0,0.5900000000000001
222,BEL,2001,78.071,167,97.61762685642388,978.573059891,1131.09616825,22945.127101568825,9.0,0.5700000000000001
223,BEL,2002,78.285,1945,95.71422230532018,1040.45737836,1212.40025477,22727.57204215383,8.0,0.55
224,BEL,2003,78.509,8883,93.72503421179437,1108.71855364,1294.34475091,22429.94323760796,8.0,0.53
225,BEL,2004,78.74,20386,103.86009335883408,1166.37077477,1373.59311483,21977.020061374333,8.0,0.52
226,BEL,2005,78.975,22833,84.15565258339223,1197.0,1446.3128709000002,21818.477233592035,8.0,0.5
227,BEL,2006,79.211,20022,69.85443254309415,1185.23335514,1514.3898237,21453.310502909782,8.0,0.49
228,BEL,2007,79.441,13081,72.67972342392005,1139.57152836,1582.10998491,21478.13043537144,8.0,0.48
229,BEL,2008,79.662,8603,79.44080922308689,1078.90413271,1647.9028178100002,21377.217242684164,8.0,0.47
230,BEL,2009,79.873,9716,70.12332837738208,1023.87404431,1710.95804737,21149.887704220757,8.0,0.4599999999999999
231,BEL,2010,80.072,11467,85.05578582805113,997.0,1770.80878059,20923.355836148658,8.0,0.45
232,BEL,2011,80.261,10445,81.231989153808,995.955143892,1831.31493988,20804.93591518478,8.0,0.44
233,BEL,2012,80.444,8491,74.70517766942399,1001.52479546,1895.76549525,20686.311866136104,7.0,0.43
234,BEL,2013,80.622,8887,79.41390369628006,1014.44796085,1962.44013046,20418.94742862167,7.0,0.42
235,BEL,2014,80.797,9806,59.12438575678103,1034.13131186,2030.63929292,19996.09555669532,7.0,0.41
236,BEL,2015,80.969,7403,63.63633635921599,1061.31057905,2100.58793285,19910.44664884701,7.0,0.4
237,BLZ,1999,68.734,227,55.490732055191216,159.746822131,88.38167250320001,35296.65046140062,52.0,2.51
238,BLZ,2000,68.847,1315,65.59133167144114,170.931383245,96.5217802729,35649.708959883355,53.0,2.41
239,BLZ,2001,69.04,2542,58.33460615620146,170.217426564,105.392898178,34669.99006713103,53.0,2.33
240,BLZ,2003,69.511,2542,79.2949541717386,142.396208727,130.25082106,33517.28844472176,50.0,2.2
241,BLZ,2004,69.749,1832,82.02338946078558,127.796368429,143.479250532,32949.93526567303,50.0,2.14
242,BLZ,2005,69.998,2155,69.80684550694501,122.741175857,155.00542351,32336.10556327065,52.0,2.1
243,BLZ,2006,70.286,1858,71.48863964058422,126.311891132,162.719889115,31793.184884408216,50.0,2.0500000000000003
244,BLZ,2007,70.636,2119,63.173662441548096,131.484207582,167.06219382700002,31093.336473880678,46.0,2.01
245,BLZ,2008,71.059,1643,57.13203986889651,137.76664314,170.191860368,30760.438705022592,36.0,1.97
