country,year,adj_enrollment,out_school_percentage,out_school,first_grade_percentage,overage_percentage,grade_5_percentage,last_grade,completion_rate,pupils,repeater_percentage,enrollment_gross_percentage,enrollment_net_percentage
LTE,2000,,4.34315013885498,8321058.0,100.7842,,,91.4984664916992,94.4304580688477,211280912.0,3.84074,110.277420043945,94.89718
LTE,2001,,4.2508602142334,7667942.0,102.3035,,,92.7919692993164,95.3238677978516,202838672.0,3.36257,112.447166442871,94.99997
LTE,2002,,3.96145009994507,6750288.0,107.4469,,,90.1822128295898,95.2160110473633,189202064.0,3.38155,111.034446716309,95.10867
LTE,2003,,3.77425003051758,6121119.0,108.873,,,87.1553421020508,94.6870422363281,177547104.0,3.42598,109.474746704102,95.31197
LTE,2004,,3.50746011734009,6154188.0,103.578,,,84.6863479614258,93.9358673095703,188405872.0,3.18446,107.37816619873,95.63184
LTE,2005,,3.42555999755859,5870340.0,103.3512,,,82.2369918823242,93.7908325195313,180904096.0,3.06564,105.564323425293,95.59285
LTE,2006,,4.09149980545044,6927261.0,99.3354,,,85.9751586914063,93.8781585693359,175498240.0,2.82881,103.655723571777,94.74437
LTE,2007,,3.21974992752075,5377219.0,101.8109,,,89.6724472045898,94.9779434204102,172764480.0,2.58998,103.447303771973,95.45125
LTE,2008,,2.90457010269165,4766064.0,102.4283,,,91.4073104858398,98.524543762207,170450192.0,2.35692,103.876907348633,96.1566
LTE,2009,,3.034019947052,4908372.0,100.7172,,,91.202262878418,98.3707733154297,167282016.0,2.14377,103.402297973633,96.09048
LTE,2010,,3.06260991096497,4997109.0,99.7804,,,91.8352203369141,97.392707824707,163968656.0,1.94047,100.492523193359,96.06111
LTE,2011,,3.24323010444641,5206488.0,100.7532,,,88.5544281005859,96.0270614624023,162286128.0,1.78232,101.091423034668,96.1477
LTE,2012,,2.99271011352539,4759655.0,101.7705,,,84.6643371582031,95.9479293823242,161828144.0,1.64223,101.751968383789,96.32961
LTE,2013,,2.82677006721497,4487521.0,100.9667,,,80.4037628173828,95.4588470458984,162152352.0,1.63977,102.142807006836,95.9794
LTE,2014,,2.79014992713928,4441526.0,99.7794,,,91.9908828735352,92.4080581665039,159038992.0,1.59969,99.9075622558594,96.23772
LTE,2015,,2.69150996208191,4302454.0,98.43501,,,93.3783264160156,91.1633911132813,159905040.0,1.4619,100.032821655273,96.28923
LTE,2016,96.56094,2.71505999565125,4362294.0,101.1231,,,94.382080078125,93.3705978393555,162594416.0,1.49651,101.19750213623,96.52503
LTE,2017,96.57402,2.62566995620728,4246207.0,100.3696,,,94.2471466064453,95.5930786132813,165252384.0,1.49709,102.18482208252,96.50654
